id,native_text,target_text,cefr_level,is_public,collection_id,unit_type,structure,function,grammar_points
4696,Thay thế.,Substitute.,Sơ cấp (A2),True,1623,word,,,verb
4697,Tôi chỉ là giáo viên dạy thay.,I'm only the substitute teacher.,Vỡ lòng (A1),True,1623,sentence,simple,declarative,present_simple|pronoun|verb|adverb|determiner|adjective|noun|noun_phrase
4698,Không có gì có thể thay thế được sự chăm chỉ.,There's no substitute for hard work.,Sơ cấp (A2),True,1623,sentence,simple,declarative,present_simple|negation|noun|verb|adjective|preposition|noun_phrase|prepositional_phrase
4699,"Một trong những giáo viên của chúng tôi bị ốm, vì vậy chúng tôi cần người thay thế.","One of our teachers is sick, so we need someone to substitute.",Sơ cấp (A2),True,1623,sentence,compound,declarative,present_simple|conjunction|reason_result
4700,Đột nhiên.,Suddenly.,Vỡ lòng (A1),True,1624,word,,,adverb
4701,Tàu dừng đột ngột.,The train stopped suddenly.,Sơ cấp (A2),True,1624,sentence,simple,declarative,past_simple|noun|verb|adverb|determiner|noun_phrase
4702,Mọi chuyện xảy ra quá đột ngột.,It all happened so suddenly.,Vỡ lòng (A1),True,1624,sentence,simple,declarative,past_simple|pronoun|adverb|noun_phrase|verb_phrase
4703,Đột nhiên trời bắt đầu mưa.,Suddenly it began to rain.,Vỡ lòng (A1),True,1624,sentence,simple,declarative,past_simple|adverb|pronoun|verb|verb_phrase
4704,Thật bất ngờ.,Surprising.,Sơ cấp (A2),True,1625,word,,,adjective
4705,Việc họ thua cuộc không có gì đáng ngạc nhiên.,It's not surprising that they lost.,Sơ cấp (A2),True,1625,sentence,complex,declarative,present_simple|negation|pronoun|verb|adjective|verb_phrase|noun_phrase
4706,Chẳng có gì đáng ngạc nhiên khi anh ấy không muốn đi.,It's not surprising that he doesn't want to go.,Sơ cấp (A2),True,1625,sentence,complex,declarative,present_simple|negation|conjunction|pronoun|verb|adjective|verb_phrase|noun_phrase
4707,"Tháng trước, một số lượng người bị sa thải đáng kể.",A surprising number of people were laid off last month.,Sơ cấp (A2),True,1625,sentence,simple,declarative,past_simple|passive|noun_phrase|verb_phrase|adjective|determiner|time_sequence
4708,Thật đáng ngạc nhiên.,Surprisingly.,Sơ cấp (A2),True,1626,word,,,adverb
4709,Trông cô ấy khỏe mạnh đến bất ngờ.,She looked surprisingly well.,Vỡ lòng (A1),True,1626,sentence,simple,declarative,past_simple|pronoun|verb|adverb|adjective
4710,Không có gì đáng ngạc nhiên khi ông ấy không đến.,"Not surprisingly, he didn't come.",Sơ cấp (A2),True,1626,sentence,simple,declarative,past_simple|negation|adverb_phrase|pronoun|verb
4711,"Thật bất ngờ, hóa ra anh ta lại là một tên trộm.","Surprisingly enough, he turned out to be a thief.",Sơ cấp (A2),True,1626,sentence,simple,declarative,past_simple|adverb_phrase|pronoun|verb_phrase|noun_phrase
4712,Công tắc.,Switch.,Vỡ lòng (A1),True,1627,word,,,verb
4713,Đừng chạm vào công tắc đó.,Don't touch that switch.,Vỡ lòng (A1),True,1627,sentence,simple,imperative,negation|verb|determiner|noun
4714,Vui lòng tắt đèn khi rời đi.,Please switch the lights off as you leave.,Sơ cấp (A2),True,1627,sentence,complex,imperative,present_simple|conjunction|time_sequence|verb|noun|pronoun|determiner|adverb|verb_phrase|noun_phrase
4715,"Bật đèn lên, tôi không nhìn thấy gì cả.","Switch on the light, I can't see anything.",Vỡ lòng (A1),True,1627,sentence,compound,imperative,present_simple|modal|negation|reason_result|noun|verb|pronoun
4716,Giải quyết.,Tackle.,Vỡ lòng (A1),True,1628,word,,,verb
4717,Tôi sẽ làm bài tập về nhà sau.,I'll tackle my homework later.,Vỡ lòng (A1),True,1628,sentence,simple,declarative,future_will|pronoun|verb|noun_phrase|adverb
4718,Chính phủ quyết tâm giải quyết vấn đề lạm phát.,The government is determined to tackle inflation.,Sơ cấp (A2),True,1628,sentence,simple,declarative,present_simple|passive|noun_phrase|verb_phrase
4719,Chúng tôi đã tìm ra những cách thức mới để giải quyết vấn đề.,We found new ways to tackle the problem.,Sơ cấp (A2),True,1628,sentence,simple,declarative,past_simple|pronoun|verb|adjective|noun|determiner|noun_phrase|verb_phrase
4720,Kỹ thuật.,Technical.,Sơ cấp (A2),True,1629,word,,,adjective
4721,Hiện đang có một vài vấn đề kỹ thuật.,There are a few technical problems.,Sơ cấp (A2),True,1629,sentence,simple,declarative,present_simple|determiner|adjective|noun|verb|noun_phrase
4722,Bài viết này chứa rất nhiều thuật ngữ chuyên ngành.,The article is full of technical terms.,Sơ cấp (A2),True,1629,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective_phrase|prepositional_phrase|determiner|noun|adjective|preposition
4723,Chúng tôi đã phải gọi cho bộ phận hỗ trợ kỹ thuật mười lần thì máy tính mới hoạt động được.,We had to make ten calls to technical support to get the computer working.,Sơ cấp (A2),True,1629,sentence,simple,declarative,past_simple|modal|pronoun|verb_phrase|noun_phrase|prepositional_phrase
4724,Của họ.,Theirs.,Vỡ lòng (A1),True,1630,word,,,pronoun
4725,Cuốn sách đó là của họ.,That book is theirs.,Vỡ lòng (A1),True,1630,sentence,simple,declarative,present_simple|determiner|noun|verb|pronoun|noun_phrase|verb_phrase
4726,Cô ấy là bạn của họ.,She is a friend of theirs.,Sơ cấp (A2),True,1630,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|preposition|prepositional_phrase
4727,Những vấn đề của chúng ta chẳng là gì so với vấn đề của họ.,Our problems are nothing compared to theirs.,Sơ cấp (A2),True,1630,sentence,simple,declarative,present_simple|noun_phrase|verb|pronoun|comparison
4728,So với.,Compared to.,Sơ cấp (A2),True,1631,phrase,,,comparison|prepositional_phrase
4729,"So với quạt, máy điều hòa không khí mang lại cảm giác thoải mái hơn.","Compared to fans, air conditioners are more comfortable.",Sơ cấp (A2),True,1631,sentence,simple,declarative,present_simple|comparison|noun_phrase|adjective|verb|prepositional_phrase
4730,"So với các học sinh khác, cô ấy khá chăm chỉ.","Compared to other students, she is quite hardworking.",Sơ cấp (A2),True,1631,sentence,simple,declarative,present_simple|comparison|pronoun|verb|adjective|adverb
4731,Chính họ.,Themselves.,Vỡ lòng (A1),True,1632,word,,,pronoun
4732,Họ giữ kín kế hoạch của mình.,They kept their plans to themselves.,Sơ cấp (A2),True,1632,sentence,simple,declarative,past_simple|pronoun|verb|noun_phrase|prepositional_phrase
4733,Họ vừa mua cho mình một chiếc xe hơi mới.,They've bought themselves a new car.,Vỡ lòng (A1),True,1632,sentence,simple,declarative,present_perfect|pronoun|determiner|adjective|noun|noun_phrase
4734,Họ không muốn tự mình làm điều đó.,They don't want to do it themselves.,Sơ cấp (A2),True,1632,sentence,simple,declarative,present_simple|negation|pronoun
4735,Hoàn toàn.,Thoroughly.,Vỡ lòng (A1),True,1633,word,,,adverb
4736,Ông ấy đã nghiên cứu bản đề xuất rất kỹ lưỡng.,He studied the proposal very thoroughly.,Sơ cấp (A2),True,1633,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|adverb|noun_phrase|verb_phrase|adverb_phrase
4737,Cảnh sát đã điều tra vụ tai nạn một cách kỹ lưỡng.,The police investigated the accident thoroughly.,Sơ cấp (A2),True,1633,sentence,simple,declarative,past_simple|noun_phrase|verb|adverb|determiner|noun
4738,Chúng tôi ướt sũng vì mưa.,We got thoroughly wet in the rain.,Sơ cấp (A2),True,1633,sentence,simple,declarative,past_simple|pronoun|verb|adverb|adjective|preposition|determiner|noun|prepositional_phrase
4739,Hăm dọa.,Threaten.,Vỡ lòng (A1),True,1634,word,,,verb
4740,Anh/Chị đang đe dọa tôi à?,Are you threatening me?,Vỡ lòng (A1),True,1634,sentence,simple,interrogative,present_continuous|question_form|pronoun|verb
4741,Ông ta đe dọa sẽ công khai chuyện này.,He threatened to make it public.,Sơ cấp (A2),True,1634,sentence,simple,declarative,past_simple|pronoun|verb|adjective|verb_phrase
4742,Những kẻ tấn công đã đe dọa anh ta bằng súng.,The attackers threatened him with a gun.,Sơ cấp (A2),True,1634,sentence,simple,declarative,past_simple|noun|verb|pronoun|preposition|determiner|noun_phrase|verb_phrase|prepositional_phrase
4743,Khắp.,Throughout.,Sơ cấp (A2),True,1635,word,,,preposition
4744,Ông đã đi khắp đất nước.,He traveled throughout the country.,Sơ cấp (A2),True,1635,sentence,simple,declarative,past_simple|pronoun|verb|prepositional_phrase|preposition|determiner|noun
4745,Bạn đã kiểm tra khắp nhà chưa?,Have you looked throughout the house?,Vỡ lòng (A1),True,1635,sentence,simple,interrogative,present_perfect|question_form|pronoun|verb|prepositional_phrase|preposition|determiner|noun
4746,Bảo tàng mở cửa hàng ngày quanh năm.,The museum is open daily throughout the year.,Sơ cấp (A2),True,1635,sentence,simple,declarative,present_simple|noun_phrase|verb_phrase|adverb|prepositional_phrase|noun|verb|adjective|preposition|determiner
4747,Đến.,Till.,Sơ cấp (A2),True,1636,word,,,preposition
4748,Hôm nay chúng tôi mở cửa đến 9 giờ tối.,We're open till 9pm today.,Sơ cấp (A2),True,1636,sentence,simple,declarative,present_simple|pronoun|verb|adjective|preposition|adverb
4749,Tôi sẽ đợi ở đây cho đến khi anh ấy đến.,I will wait here till he comes.,Sơ cấp (A2),True,1636,sentence,complex,declarative,future_will|conjunction|time_sequence|pronoun|verb|adverb
4750,Bạn sẽ không bao giờ biết mình có thể làm được gì cho đến khi thử.,You never know what you can do till you try.,Sơ cấp (A2),True,1636,sentence,complex,declarative,present_simple|modal|negation|relative_clause|time_sequence|pronoun|verb|adverb|conjunction
4751,Nhà vệ sinh.,Toilet.,Vỡ lòng (A1),True,1637,word,,,noun
4752,"Xin lỗi, nhà vệ sinh ở đâu vậy?","Excuse me, where's the toilet?",Vỡ lòng (A1),True,1637,sentence,simple,interrogative,question_form|present_simple|verb|pronoun|noun|determiner|noun_phrase
4753,Tôi có thể dùng nhà vệ sinh của bạn được không?,May I use your toilet?,Vỡ lòng (A1),True,1637,sentence,simple,interrogative,modal|question_form|pronoun|verb|determiner|noun
4754,Đừng quên xả nước bồn cầu.,Don't forget to flush the toilet.,Vỡ lòng (A1),True,1637,sentence,simple,imperative,present_simple|negation|verb|noun|determiner|verb_phrase|noun_phrase
4755,Tháp.,Tower.,Vỡ lòng (A1),True,1638,word,,,noun
4756,Tháp Eiffel cao bao nhiêu?,How high is the Eiffel Tower?,Sơ cấp (A2),True,1638,sentence,simple,interrogative,present_simple|question_form|adjective|verb|determiner|noun_phrase
4757,Bạn đã từng đến Tháp Eiffel chưa?,Have you ever been to the Eiffel Tower?,Sơ cấp (A2),True,1638,sentence,simple,interrogative,present_perfect|question_form|pronoun|preposition|determiner|noun_phrase
4758,Bạn có thể nhìn thấy tòa tháp ở phía xa.,You can see the tower in the distance.,Sơ cấp (A2),True,1638,sentence,simple,declarative,modal|pronoun|verb|noun|determiner|preposition|noun_phrase|prepositional_phrase
4759,Đào tạo.,Training.,Vỡ lòng (A1),True,1639,word,,,noun
4760,Công việc này đòi hỏi phải được đào tạo chuyên môn.,The job requires special training.,Sơ cấp (A2),True,1639,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|determiner
4761,Hiện tại tôi đang bận tham gia khóa đào tạo nhân viên.,I am busy attending the staff training now.,Sơ cấp (A2),True,1639,sentence,simple,declarative,present_continuous|pronoun|verb|adjective|noun_phrase|determiner|adverb
4762,Tôi đang huấn luyện cô ấy để cô ấy có thể tiếp quản công việc của tôi khi tôi nghỉ hưu.,I'm training her to take over my job when I retire.,Sơ cấp (A2),True,1639,sentence,complex,declarative,present_continuous|pronoun|verb|noun|determiner|conjunction|time_sequence|verb_phrase
4763,Tiếp quản.,Take over.,Vỡ lòng (A1),True,1640,phrase,,,verb|verb_phrase
4764,Tôi sẽ đảm nhận nhiệm vụ của bạn.,I'll take over your duties.,Sơ cấp (A2),True,1640,sentence,simple,declarative,future_will|pronoun|verb_phrase|noun_phrase
4765,Bạn có thể lái xe hộ tôi một lát được không?,Can you take over the driving for a while?,Sơ cấp (A2),True,1640,sentence,simple,interrogative,modal|question_form|verb_phrase|noun_phrase|prepositional_phrase
4766,Về hưu.,Retire.,Vỡ lòng (A1),True,1641,word,,,verb
4767,Bố tôi sẽ nghỉ hưu vào năm sau.,My father will retire next year.,Sơ cấp (A2),True,1641,sentence,simple,declarative,future_will|noun_phrase|verb_phrase|determiner|noun|verb|time_sequence
4768,Tôi nghĩ đã đến lúc tôi nghỉ hưu.,I think it's time for me to retire.,Sơ cấp (A2),True,1641,sentence,complex,declarative,present_simple|pronoun|verb|noun|noun_phrase|verb_phrase
4769,Cạm bẫy.,Trap.,Vỡ lòng (A1),True,1642,word,,,verb
4770,Đừng mắc bẫy của hắn.,Don't fall into his trap.,Vỡ lòng (A1),True,1642,sentence,simple,imperative,present_simple|negation|verb|preposition|determiner|noun|verb_phrase|prepositional_phrase
4771,Làm sao chúng ta biết đó không phải là một cái bẫy?,How do we know it's not a trap?,Sơ cấp (A2),True,1642,sentence,simple,interrogative,question_form|present_simple|negation
4772,Rõ ràng là họ đã rơi vào bẫy.,It was clear that they were in a trap.,Sơ cấp (A2),True,1642,sentence,complex,declarative,past_simple|relative_clause|pronoun|adjective|prepositional_phrase|conjunction
4773,Sự đối đãi.,Treatment.,Vỡ lòng (A1),True,1643,word,,,noun
4774,Cô ấy đang được điều trị ung thư.,She is receiving treatment for cancer.,Sơ cấp (A2),True,1643,sentence,simple,declarative,present_continuous|pronoun|verb|noun|preposition|noun_phrase|verb_phrase|prepositional_phrase
4775,Cô ấy đang đáp ứng tốt với điều trị.,She is responding well to treatment.,Sơ cấp (A2),True,1643,sentence,simple,declarative,present_continuous|pronoun|verb|adverb|preposition|noun|verb_phrase|prepositional_phrase
4776,Tôi chưa từng gặp phải sự đối xử thô lỗ như vậy.,I have never experienced such rude treatment.,Sơ cấp (A2),True,1643,sentence,simple,declarative,present_perfect|negation|pronoun|verb_phrase|adjective|noun|noun_phrase
4777,Nhiệt đới.,Tropical.,Sơ cấp (A2),True,1644,word,,,adjective
4778,Hòn đảo này có khí hậu nhiệt đới.,The island has a tropical climate.,Sơ cấp (A2),True,1644,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|noun|determiner
4779,Loại cây này chỉ sinh trưởng ở vùng nhiệt đới.,This kind of plant grows only in the tropical regions.,Sơ cấp (A2),True,1644,sentence,simple,declarative,present_simple|noun|verb|adjective|adverb|preposition|determiner|noun_phrase|prepositional_phrase
4780,"Tại Việt Nam, trái cây nhiệt đới có giá rất rẻ khi vào mùa.","In Vietnam, tropical fruits are dirt cheap when they are in season.",Trung cấp (B1),True,1644,sentence,complex,declarative,present_simple|prepositional_phrase|noun_phrase|adjective_phrase|conjunction|pronoun|time_sequence
4781,Mùa.,Season.,Sơ cấp (A2),True,1645,word,,,noun|verb
4782,Đang vào mùa dâu tây.,Strawberries are in season.,Sơ cấp (A2),True,1645,sentence,simple,declarative,present_simple|noun|verb|preposition|noun_phrase|prepositional_phrase
4783,Mùa hè là mùa yêu thích của tôi.,Summer is my favorite season.,Vỡ lòng (A1),True,1645,sentence,simple,declarative,present_simple|noun|verb|adjective|determiner|noun_phrase
4784,Thứ ba.,Tuesday.,Vỡ lòng (A1),True,1646,word,,,noun
4785,Bạn rảnh vào thứ Ba không?,Are you free on Tuesday?,Vỡ lòng (A1),True,1646,sentence,simple,interrogative,present_simple|question_form|pronoun|adjective|preposition|noun
4786,Đừng quên cuộc họp vào thứ Ba.,Don't forget the meeting on Tuesday.,Vỡ lòng (A1),True,1646,sentence,simple,imperative,present_simple|negation|verb|noun_phrase|prepositional_phrase|time_sequence
4787,Trời đã mưa từ thứ Ba.,It has been raining since Tuesday.,Sơ cấp (A2),True,1646,sentence,simple,declarative,present_perfect|pronoun|verb_phrase|prepositional_phrase|preposition
4788,Xoay.,Twist.,Vỡ lòng (A1),True,1647,word,,,verb
4789,Bạn đang xuyên tạc sự thật.,You're twisting the truth.,Vỡ lòng (A1),True,1647,sentence,simple,declarative,present_continuous|pronoun|verb|determiner|noun|verb_phrase|noun_phrase
4790,Tôi bị trượt chân và trẹo mắt cá chân.,I slipped and twisted my ankle.,Sơ cấp (A2),True,1647,sentence,compound,declarative,past_simple|conjunction|pronoun|verb|determiner|noun
4791,Tôi bị trẹo mắt cá chân khi chơi bóng đá.,I twisted my ankle while playing football.,Sơ cấp (A2),True,1647,sentence,complex,declarative,past_simple|pronoun|noun|conjunction|verb_phrase|time_sequence
4792,Mắt cá chân.,Ankle.,Vỡ lòng (A1),True,1648,word,,,noun
4793,Anh ấy bị gãy mắt cá chân.,He has a broken ankle.,Vỡ lòng (A1),True,1648,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|noun_phrase
4794,Xấu xí.,Ugly.,Vỡ lòng (A1),True,1649,word,,,adjective
4795,Ngôi nhà đó xấu xí.,That house is ugly.,Vỡ lòng (A1),True,1649,sentence,simple,declarative,present_simple|determiner|noun|verb|adjective|noun_phrase|verb_phrase|adjective_phrase
4796,Bạn nghĩ tôi xấu xí à?,Do you think I'm ugly?,Vỡ lòng (A1),True,1649,sentence,complex,interrogative,present_simple|question_form|pronoun|verb|adjective
4797,"Anh ta không trẻ cũng không già, không béo cũng không gầy, không đẹp trai cũng không xấu xí.","He is neither young nor old, neither fat nor thin, neither handsome nor ugly.",Sơ cấp (A2),True,1649,sentence,simple,declarative,present_simple|pronoun|verb|adjective|conjunction|negation|adjective_phrase
4798,Cảm thấy khó chịu.,Uncomfortable.,Vỡ lòng (A1),True,1650,word,,,adjective
4799,Cô ấy trông có vẻ hơi khó chịu.,She looks slightly uncomfortable.,Vỡ lòng (A1),True,1650,sentence,simple,declarative,present_simple|pronoun|verb|adverb|adjective
4800,Bầu không khí thật khó chịu.,The atmosphere was uncomfortable.,Vỡ lòng (A1),True,1650,sentence,simple,declarative,past_simple|noun_phrase|adjective|determiner|noun|verb
4801,Chiếc ghế này không thoải mái.,This chair is uncomfortable.,Vỡ lòng (A1),True,1650,sentence,simple,declarative,present_simple|noun_phrase|adjective|verb|determiner|noun
4802,Bên dưới.,Underneath.,Vỡ lòng (A1),True,1651,word,,,adverb
4803,Anh ta giấu phong bì dưới áo khoác.,He hid the envelope underneath his coat.,Sơ cấp (A2),True,1651,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|preposition|noun_phrase|prepositional_phrase
4804,Tôi tìm thấy chìa khóa ở dưới tấm thảm.,I found the key underneath the mat.,Vỡ lòng (A1),True,1651,sentence,simple,declarative,past_simple|pronoun|verb|noun|determiner|preposition|noun_phrase|prepositional_phrase
4805,Đặt một cái bát bên dưới để hứng phần nước tràn ra.,Put a bowl underneath to catch the overflow.,Sơ cấp (A2),True,1651,sentence,simple,imperative,present_simple|verb|noun|determiner|adverb|noun_phrase|verb_phrase
4806,Phong bì.,Envelope.,Vỡ lòng (A1),True,1652,word,,,noun
4807,Trong phong bì có gì?,What's in the envelope?,Vỡ lòng (A1),True,1652,sentence,simple,interrogative,present_simple|question_form|pronoun|preposition|determiner|noun|prepositional_phrase
4808,Ai đã đưa cho bạn phong bì này?,Who gave you this envelope?,Vỡ lòng (A1),True,1652,sentence,simple,interrogative,past_simple|question_form|pronoun|determiner|noun
4809,Cái bát.,Bowl.,Vỡ lòng (A1),True,1653,word,,,noun|verb
4810,Chiếc bát bị rơi và vỡ.,The bowl dropped and broke.,Vỡ lòng (A1),True,1653,sentence,simple,declarative,past_simple|conjunction|noun_phrase|determiner|noun|verb
4811,Làm ơn mang cho tôi một bát súp.,"Bring me a bowl of soup, please.",Vỡ lòng (A1),True,1653,sentence,simple,imperative,present_simple|verb|pronoun|noun_phrase|prepositional_phrase|adverb
4812,Canh.,Soup.,Vỡ lòng (A1),True,1654,word,,,noun
4813,Món súp này cay quá đối với tôi.,This soup is too spicy for me.,Sơ cấp (A2),True,1654,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|adverb|prepositional_phrase
4814,Món súp này cần thêm một chút muối.,This soup needs a bit more salt.,Sơ cấp (A2),True,1654,sentence,simple,declarative,present_simple|noun_phrase|verb|determiner|comparison|noun
4815,Muối.,Salt.,Vỡ lòng (A1),True,1655,word,,,noun
4816,Đừng cho quá nhiều muối.,Don't add too much salt.,Vỡ lòng (A1),True,1655,sentence,simple,imperative,negation|verb|adverb|determiner|noun|noun_phrase|verb_phrase
4817,Hôm nay chúng ta hết muối rồi.,We ran out of salt today.,Sơ cấp (A2),True,1655,sentence,simple,declarative,past_simple|pronoun|verb|preposition|noun|adverb|verb_phrase
4818,Không thân thiện.,Unfriendly.,Sơ cấp (A2),True,1656,word,,,adjective
4819,Anh ta có thái độ không thân thiện.,He had an unfriendly attitude.,Sơ cấp (A2),True,1656,sentence,simple,declarative,past_simple|pronoun|verb|adjective|noun|determiner|noun_phrase
4820,Họ đối xử với tôi rất không thân thiện.,They were very unfriendly to me.,Sơ cấp (A2),True,1656,sentence,simple,declarative,past_simple|pronoun|verb|adverb|adjective|preposition|prepositional_phrase
4821,Bạn nghĩ sao về thái độ không thân thiện của anh ta?,What do you think of his unfriendly attitude?,Sơ cấp (A2),True,1656,sentence,simple,interrogative,question_form|present_simple|pronoun|verb|preposition|determiner|adjective|noun|noun_phrase
4822,Thái độ.,Attitude.,Sơ cấp (A2),True,1657,word,,,noun
4823,"""Thái độ là tất cả"" là cuốn sách yêu thích của tôi.",Attitude is Everything is my favorite book.,Vỡ lòng (A1),True,1657,sentence,simple,declarative,present_simple|noun_phrase|adjective|determiner|noun|verb
4824,Không quan trọng.,Unimportant.,Cao trung cấp (B2),True,1658,word,,,adjective
4825,"Đã rất muộn rồi, không quan trọng nữa.","It's very late, unimportant.",Trung cấp (B1),True,1658,sentence,compound,declarative,present_simple|pronoun|adverb|adjective
4826,"Xét về mặt tương đối, vấn đề này không quan trọng.","Relatively speaking, this matter is unimportant.",Cao trung cấp (B2),True,1658,sentence,simple,declarative,present_simple|adverb_phrase|adverb|verb|noun_phrase|determiner|noun|adjective
4827,Đừng quá lo lắng về những chuyện không quan trọng.,Don't worry too much about unimportant things.,Sơ cấp (A2),True,1658,sentence,simple,imperative,present_simple|negation|verb|adverb|prepositional_phrase|adjective|noun
4828,Độc nhất.,Unique.,Vỡ lòng (A1),True,1659,word,,,adjective
4829,Ông ấy có một phong cách viết độc đáo.,He has a unique writing style.,Sơ cấp (A2),True,1659,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun_phrase
4830,Những bông hoa này có mùi hương đặc biệt.,These flowers have a unique smell.,Sơ cấp (A2),True,1659,sentence,simple,declarative,present_simple|noun_phrase|determiner|noun|verb|adjective
4831,Mỗi người đều độc đáo theo cách riêng của mình.,Everyone is unique in their own way.,Sơ cấp (A2),True,1659,sentence,simple,declarative,present_simple|pronoun|verb|adjective|prepositional_phrase
4832,Không rõ.,Unknown.,Sơ cấp (A2),True,1660,word,,,adjective
4833,Anh ấy là một nghệ sĩ vô danh.,He is an unknown artist.,Sơ cấp (A2),True,1660,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|noun_phrase|verb_phrase
4834,Danh tính của người đàn ông này vẫn chưa được xác định.,The man's identity remains unknown.,Sơ cấp (A2),True,1660,sentence,simple,declarative,noun_phrase|determiner|noun|verb|present_simple|adjective
4835,Nguyên nhân vụ tai nạn chưa được xác định.,The cause of the accident is unknown.,Sơ cấp (A2),True,1660,sentence,simple,declarative,present_simple|passive|noun_phrase|prepositional_phrase|adjective
4836,Danh tính.,Identity.,Sơ cấp (A2),True,1661,word,,,noun
4837,Bạn có thể cung cấp bất kỳ giấy tờ tùy thân nào không?,Can you provide any proof of identity?,Sơ cấp (A2),True,1661,sentence,simple,interrogative,modal|question_form|pronoun|verb|noun_phrase|preposition
4838,Bạn cần xuất trình giấy tờ tùy thân.,You will need to show proof of identity.,Sơ cấp (A2),True,1661,sentence,simple,declarative,future_will|modal|pronoun|verb|noun|preposition|noun_phrase|verb_phrase
4839,Bằng chứng.,Proof.,Vỡ lòng (A1),True,1662,word,,,noun
4840,Chúng tôi không có bằng chứng nào cả.,We don't have any proof.,Vỡ lòng (A1),True,1662,sentence,simple,declarative,present_simple|negation|pronoun|verb|determiner|noun
4841,Không ổn định.,Unsteady.,Sơ cấp (A2),True,1663,word,,,adjective
4842,Nhịp tim của anh ấy không đều.,His heartbeat was unsteady.,Sơ cấp (A2),True,1663,sentence,simple,declarative,past_simple|noun_phrase|adjective|verb|determiner|noun
4843,Ông ấy đi lại rất loạng choạng.,He was very unsteady on his feet.,Sơ cấp (A2),True,1663,sentence,simple,declarative,past_simple|pronoun|verb|adverb|adjective|prepositional_phrase|noun
4844,Tôi nhận thấy tay anh ta run rẩy.,I observed that his hands were unsteady.,Sơ cấp (A2),True,1663,sentence,complex,declarative,past_simple|pronoun|verb|conjunction|determiner|noun|adjective|noun_phrase|verb_phrase
4845,Không gọn gàng.,Untidy.,Sơ cấp (A2),True,1664,word,,,adjective
4846,Phòng của bạn rất bừa bộn.,Your room is very untidy.,Sơ cấp (A2),True,1664,sentence,simple,declarative,present_simple|noun_phrase|adjective|adverb|verb|determiner
4847,Bạn không nên ra ngoài với mái tóc bù xù.,You should never go out with untidy hair.,Sơ cấp (A2),True,1664,sentence,simple,declarative,modal|negation|adjective|prepositional_phrase
4848,Anh ta là người bừa bộn và không thể giữ phòng mình sạch sẽ.,He is an untidy person and cannot keep his room clean.,Sơ cấp (A2),True,1664,sentence,compound,declarative,present_simple|modal|negation|conjunction|adjective
4849,Vô ích.,Useless.,Sơ cấp (A2),True,1665,word,,,adjective
4850,Tranh luận với kẻ ngốc là vô ích.,It's useless to argue with an idiot.,Sơ cấp (A2),True,1665,sentence,simple,declarative,present_simple|pronoun|adjective|verb_phrase|prepositional_phrase
4851,Cố gắng thay đổi suy nghĩ của cô ấy là vô ích.,It's useless trying to change her mind.,Sơ cấp (A2),True,1665,sentence,simple,declarative,present_simple|pronoun|adjective|verb|determiner|noun|noun_phrase
4852,Dường như mọi nỗ lực của tôi đều vô ích.,It seems that all my efforts are useless.,Sơ cấp (A2),True,1665,sentence,complex,declarative,present_simple|conjunction|pronoun|noun_phrase|adjective|verb|determiner
4853,Nhiều.,Various.,Sơ cấp (A2),True,1666,word,,,adjective
4854,Chị gái tôi đọc nhiều loại sách khác nhau.,My sister read various books.,Vỡ lòng (A1),True,1666,sentence,simple,declarative,past_simple|noun|verb|adjective|determiner|noun_phrase|verb_phrase
4855,Câu này có nhiều nghĩa khác nhau.,This sentence has various meanings.,Sơ cấp (A2),True,1666,sentence,simple,declarative,present_simple|noun|verb|adjective|determiner|noun_phrase
4856,Cô ấy được biết đến với nhiều tên gọi khác nhau.,She was known under various names.,Sơ cấp (A2),True,1666,sentence,simple,declarative,past_simple|passive|pronoun|preposition|adjective|noun
4857,Chiến thắng.,Victory.,Vỡ lòng (A1),True,1667,word,,,noun
4858,Thật là một chiến thắng tuyệt vời.,What a wonderful victory.,Vỡ lòng (A1),True,1667,phrase,,,determiner|adjective|noun|noun_phrase
4859,Đó là một chiến thắng dễ dàng.,It's an easy victory.,Vỡ lòng (A1),True,1667,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|noun_phrase
4860,"Trận chiến càng khó khăn, chiến thắng càng ngọt ngào.","The harder the battle, the sweeter the victory.",Trung cấp (B1),True,1667,sentence,complex,declarative,comparison|determiner|adjective|noun
4861,Hung bạo.,Violent.,Vỡ lòng (A1),True,1668,word,,,adjective
4862,Tôi không phải là người bạo lực.,I'm not a violent person.,Vỡ lòng (A1),True,1668,sentence,simple,declarative,present_simple|negation|pronoun|verb|determiner|adjective|noun|noun_phrase|verb_phrase
